house,segment_id,source_file,protocol_role,block_id,block_role,validation_fold,row_start_inclusive,row_end_exclusive,row_count,valid_target_start_inclusive,valid_target_end_exclusive,valid_target_count,appliance,column_present,training_folds,finite_valid_targets,missing_valid_targets,on_valid_target_samples,on_valid_target_duration_seconds,complete_episodes,dependency_contained_complete_episodes,left_censored_runs,right_censored_runs
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B1,development,F1,0,4660,4660,255,4652,4397,fridge,True,F2;F3;F4,4397,0,1215,3645,10,10,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B1,development,F1,0,4660,4660,255,4652,4397,microwave,True,F2;F3;F4,4397,0,83,249,2,2,0,1
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B1,development,F1,0,4660,4660,255,4652,4397,dish washer,True,F2;F3;F4,4397,0,0,0,0,0,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B1,development,F1,0,4660,4660,255,4652,4397,washer dryer,True,F2;F3;F4,4397,0,0,0,0,0,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B2,development,F2,4660,9320,4660,4915,9312,4397,fridge,True,F1;F3;F4,4397,0,856,2568,9,8,0,1
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B2,development,F2,4660,9320,4660,4915,9312,4397,microwave,True,F1;F3;F4,4397,0,186,558,8,4,1,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B2,development,F2,4660,9320,4660,4915,9312,4397,dish washer,True,F1;F3;F4,4397,0,1856,5568,18,18,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B2,development,F2,4660,9320,4660,4915,9312,4397,washer dryer,True,F1;F3;F4,4397,0,0,0,0,0,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B3,development,F3,9320,13981,4661,9575,13973,4398,fridge,True,F1;F2;F4,4398,0,935,2805,3,3,1,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B3,development,F3,9320,13981,4661,9575,13973,4398,microwave,True,F1;F2;F4,4398,0,0,0,0,0,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B3,development,F3,9320,13981,4661,9575,13973,4398,dish washer,True,F1;F2;F4,4398,0,0,0,0,0,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B3,development,F3,9320,13981,4661,9575,13973,4398,washer dryer,True,F1;F2;F4,4398,0,0,0,0,0,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B4,development,F4,13981,18641,4660,14236,18633,4397,fridge,True,F1;F2;F3,4397,0,1046,3138,5,5,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B4,development,F4,13981,18641,4660,14236,18633,4397,microwave,True,F1;F2;F3,4397,0,73,219,3,3,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B4,development,F4,13981,18641,4660,14236,18633,4397,dish washer,True,F1;F2;F3,4397,0,0,0,0,0,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B4,development,F4,13981,18641,4660,14236,18633,4397,washer dryer,True,F1;F2;F3,4397,0,0,0,0,0,0,0
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B5,locked_test,,18641,23302,4661,18896,23294,4398,fridge,True,,4398,0,1097,3291,3,3,0,1
1,redd_house1_0,redd/redd_house1_0.csv,protocol_r_population,B5,locked_test,,18641,23302,4661,18896,23294,4398,microwave,True,,4398,0,44,132,3,3,0,0
