house,chunk,segment_id,source_file,appliance,class_type,protocol_role,validation_fold,row_start_inclusive,row_end_exclusive,column_present,row_count,nominal_duration_seconds,finite_samples,missing_samples,active_samples,active_duration_seconds,on_rate,rising_transitions,falling_transitions,complete_cycles,left_censored_runs,right_censored_runs,support_pass
1,0,redd_house1_0,redd/redd_house1_0.csv,fridge,base,train_validation_pool,1,0,7768,True,7768,23304,7768,0,2025,6075,0.26068486096807414,20,19,16,0,1,True
1,0,redd_house1_0,redd/redd_house1_0.csv,microwave,base,train_validation_pool,1,0,7768,True,7768,23304,7768,0,368,1104,0.04737384140061792,18,18,11,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,dish washer,base,train_validation_pool,1,0,7768,True,7768,23304,7768,0,1195,3585,0.15383625128733264,17,16,15,0,1,True
1,0,redd_house1_0,redd/redd_house1_0.csv,electric furnace,base,train_validation_pool,1,0,7768,False,7768,23304,0,0,0,0,0.0,0,0,0,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,washer dryer,optional_exploratory,train_validation_pool,1,0,7768,True,7768,23304,7768,0,0,0,0.0,0,0,0,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,fridge,base,train_validation_pool,2,7768,15535,True,7767,23301,7767,0,1707,5121,0.2197759752800309,7,8,7,1,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,microwave,base,train_validation_pool,2,7768,15535,True,7767,23301,7767,0,0,0,0.0,0,0,0,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,dish washer,base,train_validation_pool,2,7768,15535,True,7767,23301,7767,0,661,1983,0.08510364362044548,2,3,2,1,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,electric furnace,base,train_validation_pool,2,7768,15535,False,7767,23301,0,0,0,0,0.0,0,0,0,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,washer dryer,optional_exploratory,train_validation_pool,2,7768,15535,True,7767,23301,7767,0,0,0,0.0,0,0,0,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,fridge,base,train_validation_pool,3,15535,23302,True,7767,23301,7767,0,1906,5718,0.24539719325350842,10,9,7,0,1,True
1,0,redd_house1_0,redd/redd_house1_0.csv,microwave,base,train_validation_pool,3,15535,23302,True,7767,23301,7767,0,117,351,0.015063731170336037,10,10,6,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,dish washer,base,train_validation_pool,3,15535,23302,True,7767,23301,7767,0,0,0,0.0,0,0,0,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,electric furnace,base,train_validation_pool,3,15535,23302,False,7767,23301,0,0,0,0,0.0,0,0,0,0,0,True
1,0,redd_house1_0,redd/redd_house1_0.csv,washer dryer,optional_exploratory,train_validation_pool,3,15535,23302,True,7767,23301,7767,0,0,0,0.0,0,0,0,0,0,True
1,1,redd_house1_1,redd/redd_house1_1.csv,fridge,base,train_validation_pool,1,0,8613,True,8613,25839,8613,0,2487,7461,0.2887495646116336,12,13,10,1,0,True
1,1,redd_house1_1,redd/redd_house1_1.csv,microwave,base,train_validation_pool,1,0,8613,True,8613,25839,8613,0,128,384,0.014861256240566586,9,9,7,0,0,True
1,1,redd_house1_1,redd/redd_house1_1.csv,dish washer,base,train_validation_pool,1,0,8613,True,8613,25839,8613,0,0,0,0.0,0,0,0,0,0,True
1,1,redd_house1_1,redd/redd_house1_1.csv,electric furnace,base,train_validation_pool,1,0,8613,False,8613,25839,0,0,0,0,0.0,0,0,0,0,0,True
1,1,redd_house1_1,redd/redd_house1_1.csv,washer dryer,optional_exploratory,train_validation_pool,1,0,8613,True,8613,25839,8613,0,0,0,0.0,0,0,0,0,0,True
