feature,direction,quantile_scope,quantile,threshold_w,bit_index,bit_name,pooled_activation,entropy_bits,dominant_value_rate,is_constant,threshold_duplicate_count,exact_output_duplicate_count,exact_output_duplicate_of,H1_activation,H3_activation,H5_activation,H6_activation,max_house_activation_gap
level_t,ge,pooled_all,0.1,126.83999633789062,0,level_t:ge:q100,0.9000186280275111,0.46893654135776996,0.9000186280275111,False,0,0,,0.7822358285010546,0.9211989209426804,1.0,1.0,0.21776417149894545
level_t,ge,pooled_all,0.25,166.58999633789062,1,level_t:ge:q250,0.7500246547422941,0.8112390452785437,0.7500246547422941,False,0,0,,0.6951152018587861,0.6356615632095549,1.0,0.8727002059246118,0.3643384367904451
level_t,ge,pooled_all,0.5,258.07000732421875,2,level_t:ge:q500,0.500001826277207,0.9999999999903764,0.500001826277207,False,0,0,,0.4439846231321144,0.44929640622664474,0.6182666375100226,0.586812525610901,0.17428201437790825
level_t,ge,pooled_all,0.75,362.02001953125,3,level_t:ge:q750,0.25000273941581047,0.8112824663015955,0.7499972605841896,False,0,0,,0.219504290465245,0.2939149993238097,0.29120198265179675,0.24679831318176867,0.07441070885856471
level_t,ge,pooled_all,0.9,686.1389587402346,4,level_t:ge:q900,0.10000146102176558,0.469000224901595,0.8999985389782345,False,0,0,,0.09368720738328987,0.1435729894016072,0.2317953203586267,0.0654394182240688,0.16635590213455792
level_t,ge,pooled_all,0.99,4594.4697265625,5,level_t:ge:q990,0.010002520262545611,0.0808098431523326,0.9899974797374544,False,0,0,,0.016104825963173298,0.015936737061632966,0.00029156644070267514,2.0748071726083957e-05,0.016084077891447213
delta_1,positive_ge,positive_magnitude,0.5,0.9199981689453125,6,delta_1:positive_ge:q500,0.22194746896241888,0.7637076147037316,0.7780525310375811,False,0,0,,0.211077926416402,0.1697166406867246,0.12063561484073183,0.2785273018688826,0.15789168702815076
delta_1,positive_ge,positive_magnitude,0.9,4.739990234375,7,delta_1:positive_ge:q900,0.04441871422779521,0.2621973196162193,0.9555812857722048,False,0,0,,0.03749981302446637,0.04404489903411558,0.04548436474961732,0.05181312211796316,0.01431330909349679
delta_1,positive_ge,positive_magnitude,0.99,74.76499938964844,8,delta_1:positive_ge:q990,0.004439679890131163,0.04108842209980182,0.9955603201098688,False,0,0,,0.0036497624164219364,0.008669471076850803,0.004737954661418471,0.0021577994595127314,0.006511671617338071
delta_1,positive_ge,positive_magnitude,0.999,1610.192633056654,9,delta_1:positive_ge:q999,0.00044561163849938455,0.005603253988528132,0.9995543883615006,False,0,0,,0.0005833636649198997,0.0007046614422070851,0.0007289161017566878,9.336632276737781e-05,0.00063554977898931
delta_1,negative_ge,negative_magnitude,0.5,0.9899978637695312,10,delta_1:negative_ge:q500,0.23119573673848806,0.7800899246077916,0.768804263261512,False,0,0,,0.22195740946644663,0.18127593545585902,0.1335374298418252,0.28413446825285676,0.15059703841103156
delta_1,negative_ge,negative_magnitude,0.9,5.010009765625,11,delta_1:negative_ge:q900,0.046288822087727055,0.2704178908750714,0.9537111779122729,False,0,0,,0.043562806328249264,0.04939036108560569,0.043953640935928275,0.04703069158510081,0.005827554757356426
delta_1,negative_ge,negative_magnitude,0.99,96.56632629394537,12,delta_1:negative_ge:q990,0.004624133888034597,0.0425233289710818,0.9953758661119654,False,0,0,,0.004108475725589721,0.008591175361050018,0.0037174721189591076,0.0023341580691844453,0.006257017291865572
delta_1,negative_ge,negative_magnitude,0.999,1572.0579832763895,13,delta_1:negative_ge:q999,0.00046387441056903143,0.005806009140132047,0.999536125589431,False,0,0,,0.000528517508388969,0.0008826062508452379,0.000656024491581019,7.780526897281484e-05,0.000804800981872423
mean_4,ge,pooled_all,0.1,127.05750274658203,14,mean_4:ge:q100,0.9000021915326484,0.46898864655665295,0.9000021915326484,False,0,0,,0.7828241781802046,0.9202949613147986,1.0,1.0,0.21717582181979544
mean_4,ge,pooled_all,0.25,166.72999572753906,15,mean_4:ge:q250,0.7500100445246383,0.8112622038760879,0.7500100445246383,False,0,0,,0.6965860760566611,0.6372844198643349,1.0,0.8699458994029743,0.36271558013566507
mean_4,ge,pooled_all,0.5,258.3399963378906,16,mean_4:ge:q500,0.5000054788316209,0.9999999999133875,0.5000054788316209,False,0,0,,0.4443087140570699,0.4479867324350679,0.618849770391428,0.5873986586371629,0.17454105633435807
