feature,kind,house,fridge_state,count,mean,std,min,p01,p10,p25,p50,p75,p90,p99,max
level_t,nonnegative,pooled,OFF,338730,355.5120660930009,709.7945507766386,91.11000061035156,94.49000549316406,102.44000244140625,138.2100067138672,170.95001220703125,249.55999755859375,549.6799926757812,3840.510009765625,11926.560546875
level_t,nonnegative,pooled,ON,208832,574.380300649353,814.2299467092397,99.54000091552734,232.73999496459962,266.69000244140625,306.5299987792969,345.5299987792969,473.1100158691406,820.6199951171875,5387.8493847656255,12065.060546875
level_t,nonnegative,H1,OFF,150779,339.86522995596346,768.3924149081585,91.11000061035156,93.69000244140625,96.38999938964844,106.19000244140625,170.07000732421875,260.8800048828125,505.3040161132815,5879.6229296875,11926.560546875
level_t,nonnegative,H1,ON,49782,676.0486468543131,1094.8017047471262,99.54000091552734,267.52001953125,274.8500061035156,290.9124984741211,358.1549987792969,496.95001220703125,1239.2690795898448,6609.143208007815,11783.939453125
level_t,nonnegative,H3,OFF,85437,361.26377847327865,687.2800414121881,106.2300033569336,108.19000244140625,124.77999877929688,132.8800048828125,146.41000366210938,321.70001220703125,680.2239746093751,5244.39013671875,7234.580078125
level_t,nonnegative,H3,ON,55056,581.1948180014365,807.9859339948204,108.44999694824219,226.04551391601564,244.04000854492188,255.94000244140625,291.6400146484375,619.1799926757812,1036.9300537109375,5479.141918945312,7616.33984375
level_t,nonnegative,H5,OFF,7288,749.9879335933146,1173.6110074756373,172.27999877929688,173.30869827270507,175.38700103759766,176.29000854492188,178.239990234375,355.16998291015625,3655.409912109375,3871.1448095703126,7595.330078125
level_t,nonnegative,H5,ON,6431,921.5970975756924,1168.789237548538,172.3000030517578,302.6529968261719,306.9700012207031,310.5899963378906,320.6099853515625,747.9099731445312,3456.47021484375,4123.616845703124,12065.060546875
level_t,nonnegative,H6,OFF,95226,344.9358068038392,561.7686691340281,157.7899932861328,161.67001342773438,164.40000915527344,166.4600067138672,203.739990234375,222.98001098632812,435.60499572753906,3028.1175537109375,6554.35009765625
level_t,nonnegative,H6,ON,97563,495.770736581572,574.1176446958669,161.55999755859375,295.89620178222657,307.3900146484375,311.7200012207031,345.3699951171875,375.1199951171875,595.1779907226563,3252.89384765625,7686.6201171875
delta_1,signed,pooled,OFF,338730,-0.21395117298161986,127.44401048337059,-6485.6494140625,-18.377015380859376,-2.52001953125,-0.739990234375,0.0,0.67999267578125,2.3699951171875,12.740163574218755,7313.9599609375
delta_1,signed,pooled,ON,208832,0.297205416585599,149.2236927527402,-8788.240234375,-23.637025146484376,-2.90997314453125,-1.09002685546875,0.0,0.889984130859375,2.6799896240234373,24.860238037109376,11764.9404296875
delta_1,signed,H1,OFF,150779,-0.19514316234458975,143.21678631025378,-6485.6494140625,-18.452200927734374,-2.480010986328125,-0.7299957275390625,0.0,0.69000244140625,2.2400054931640625,13.122265625000011,6465.72998046875
delta_1,signed,H1,ON,49782,0.38686818985790766,201.69171272634682,-5692.53955078125,-34.6149169921875,-3.0699737548828123,-1.100006103515625,0.0,0.79998779296875,2.4599609375,35.09968475341797,6767.919921875
delta_1,signed,H3,OFF,85437,-0.15429124660416318,157.98036411872522,-4569.50048828125,-65.26880126953125,-1.61004638671875,-0.4799957275390625,0.0,0.4300079345703125,1.3899993896484375,20.266416015624994,5813.2900390625
delta_1,signed,H3,ON,55056,0.24334587326135057,188.8508709398028,-4619.2001953125,-87.71788330078124,-2.57000732421875,-0.8900146484375,0.0,0.680023193359375,2.20001220703125,101.09147720336836,5613.490234375
delta_1,signed,H5,OFF,7288,-1.831909897824039,135.57930685710315,-5766.60986328125,-20.43919677734375,-1.0300033569335938,-0.25,0.0,0.2199859619140625,0.7299850463867188,14.347875671386726,7313.9599609375
delta_1,signed,H5,ON,6431,1.8219327551367797,212.3152836677578,-8788.240234375,-15.633056640625,-1.829833984375,-0.6000213623046875,0.0,0.45001220703125,1.5899658203125,47.69602050781247,11764.9404296875
delta_1,signed,H6,OFF,95226,-0.17343004407879925,38.711558496131374,-4373.34033203125,-10.807361602783203,-3.1800079345703125,-1.1699981689453125,0.0,1.1300048828125,3.2500152587890625,9.840072631835938,6334.0703125
delta_1,signed,H6,ON,97563,0.1813436382884487,61.71865493147794,-5368.85009765625,-11.5,-3.010009765625,-1.260009765625,0.0,1.1199951171875,2.969970703125,11.723925781250045,7329.22998046875
mean_4,nonnegative,pooled,OFF,338730,355.932520208555,703.1999986087856,91.9375,94.66999816894531,101.50225296020508,138.41250610351562,171.0,250.75374221801758,553.2407409667971,3753.27795410158,11854.189453125
mean_4,nonnegative,pooled,ON,208832,573.7715330791005,805.6119589211818,106.03500366210938,231.96155349731444,266.3824798583984,306.64752197265625,345.6875,474.5375061035156,828.849487304687,5278.257192382813,11755.474609375
mean_4,nonnegative,H1,OFF,150779,340.29664005776965,760.9222492911883,91.9375,94.00695083618164,96.6624984741211,106.28250122070312,170.17750549316406,262.14251708984375,508.5474914550781,5845.214833984376,11854.189453125
