house,horizon_samples,horizon_seconds,eligible_on_rows,known_dependency_contained_onset_rows,covered_on_rows,coverage_fraction
pooled,1,3,208832,208247,719,0.003442958933496782
pooled,2,6,208832,208247,1385,0.006632125344774747
pooled,4,12,208832,208247,2577,0.012340062825620595
pooled,8,24,208832,208247,4741,0.022702459393196445
pooled,16,48,208832,208247,8896,0.04259883542752069
pooled,32,96,208832,208247,17174,0.08223835427520687
pooled,64,192,208832,208247,33667,0.16121571406680968
pooled,128,384,208832,208247,66515,0.31850961538461536
pooled,256,768,208832,208247,123335,0.5905943533558076
H1,1,3,49782,49601,263,0.005283034028363665
H1,2,6,49782,49601,495,0.009943353019163553
H1,4,12,49782,49601,882,0.01771724719778233
H1,8,24,49782,49601,1526,0.030653649913623397
H1,16,48,49782,49601,2738,0.05499979912418143
H1,32,96,49782,49601,5122,0.10288859427102165
H1,64,192,49782,49601,9839,0.1976417178900004
H1,128,384,49782,49601,19188,0.38544052067012174
H1,256,768,49782,49601,37241,0.7480816359326664
H3,1,3,55056,55019,282,0.00512205754141238
H3,2,6,55056,55019,551,0.010007991862830572
H3,4,12,55056,55019,1044,0.01896251089799477
H3,8,24,55056,55019,1981,0.03598154606219122
H3,16,48,55056,55019,3816,0.06931124673060157
H3,32,96,55056,55019,7488,0.13600697471665213
H3,64,192,55056,55019,14820,0.26918047079337404
H3,128,384,55056,55019,29476,0.5353821563498983
H3,256,768,55056,55019,50417,0.9157403371113049
H5,1,3,6431,6284,21,0.0032654330586222983
H5,2,6,6431,6284,42,0.006530866117244597
H5,4,12,6431,6284,76,0.011817757735966413
H5,8,24,6431,6284,136,0.021147566474887265
H5,16,48,6431,6284,244,0.0379412222049448
H5,32,96,6431,6284,452,0.07028455916653709
H5,64,192,6431,6284,868,0.13497123308972167
H5,128,384,6431,6284,1654,0.2571917275695848
H5,256,768,6431,6284,3190,0.49603483128595866
H6,1,3,97563,97343,153,0.0015682174594877157
H6,2,6,97563,97343,297,0.0030441868331232127
H6,4,12,97563,97343,575,0.005893627707225075
H6,8,24,97563,97343,1098,0.011254266473970665
H6,16,48,97563,97343,2098,0.02150405379088384
H6,32,96,97563,97343,4112,0.04214712544714697
H6,64,192,97563,97343,8140,0.08343326875967323
H6,128,384,97563,97343,16197,0.16601580517204267
H6,256,768,97563,97343,32487,0.3329848405645583
