candidate,numeric_features,boolean_bits,house,fridge_state,rows,unique_patterns,unique_pattern_fraction,singleton_patterns,rows_in_repeated_patterns_fraction,dominant_pattern_count,dominant_pattern_fraction,pair_collision_probability
C8_level_delta_mean_residual_h4_h16_h64,8,56,pooled,OFF,338730,8253,0.02436453812771234,2874,0.9915153662208839,31736,0.09369114043633572,0.023845765480187613
C8_level_delta_mean_residual_h4_h16_h64,8,56,pooled,ON,208832,6395,0.030622701501685567,2204,0.9894460619062213,20115,0.09632144498927367,0.018406919529176054
C8_level_delta_mean_residual_h4_h16_h64,8,56,H1,OFF,150779,5821,0.0386061719470218,2227,0.985230038665862,19321,0.1281411867700409,0.035612583013507074
C8_level_delta_mean_residual_h4_h16_h64,8,56,H1,ON,49782,3391,0.06811699007673457,1368,0.9725201880197661,5115,0.10274798119802338,0.02420568907127993
C8_level_delta_mean_residual_h4_h16_h64,8,56,H3,OFF,85437,4368,0.051125390638716246,1668,0.980476842585765,15541,0.181900113533949,0.04237672155782556
C8_level_delta_mean_residual_h4_h16_h64,8,56,H3,ON,55056,3818,0.06934757337983144,1452,0.9736268526591108,3966,0.0720357454228422,0.01255074150968579
C8_level_delta_mean_residual_h4_h16_h64,8,56,H5,OFF,7288,660,0.09055982436882547,305,0.9581503841931943,4130,0.5666849615806806,0.3260213932243592
C8_level_delta_mean_residual_h4_h16_h64,8,56,H5,ON,6431,804,0.12501943710153943,392,0.9390452495723838,2027,0.31519203856320943,0.11381326791665468
C8_level_delta_mean_residual_h4_h16_h64,8,56,H6,OFF,95226,2800,0.02940373427425283,954,0.9899817276794153,7707,0.08093377858988092,0.01576038260298281
C8_level_delta_mean_residual_h4_h16_h64,8,56,H6,ON,97563,2738,0.02806391767370827,919,0.9905804454557567,10780,0.11049270727632401,0.02509671718412005
C11_C8_plus_range_h4_h16_h64,11,74,pooled,OFF,338730,34187,0.10092699199952765,14980,0.9557759867741269,4243,0.012526200808903846,0.0010773900804093666
C11_C8_plus_range_h4_h16_h64,11,74,pooled,ON,208832,25555,0.12237109255286546,11875,0.9431361094085198,1590,0.007613775666564511,0.0008750204315486177
C11_C8_plus_range_h4_h16_h64,11,74,H1,OFF,150779,20613,0.13671001929976986,10317,0.9315753520052528,2467,0.016361694930991717,0.002123183014507451
C11_C8_plus_range_h4_h16_h64,11,74,H1,ON,49782,10173,0.20435097023020368,5315,0.8932345024305974,945,0.018982764854766784,0.001918858176411009
C11_C8_plus_range_h4_h16_h64,11,74,H3,OFF,85437,15153,0.1773587555742828,7712,0.9097346582862226,1993,0.023327129931996676,0.0030495845720941266
C11_C8_plus_range_h4_h16_h64,11,74,H3,ON,55056,14119,0.25644798023830284,7413,0.8653552746294682,436,0.007919209532112758,0.0006860586772610233
C11_C8_plus_range_h4_h16_h64,11,74,H5,OFF,7288,1325,0.18180570801317233,846,0.8839187705817783,2954,0.4053238199780461,0.18277963538816325
C11_C8_plus_range_h4_h16_h64,11,74,H5,ON,6431,1888,0.29357798165137616,1129,0.8244440988959726,339,0.052713419374902815,0.011720735463647724
C11_C8_plus_range_h4_h16_h64,11,74,H6,OFF,95226,11656,0.12240354525024678,5355,0.9437653582004915,747,0.00784449625102388,0.0012233609851176224
C11_C8_plus_range_h4_h16_h64,11,74,H6,ON,97563,10923,0.1119584268626426,5178,0.9469266012730236,1245,0.012760985209556902,0.001561175550298912
C14_C11_plus_mean_residual_range_h256,14,94,pooled,OFF,338730,82943,0.24486464145484604,48134,0.857898621320816,1695,0.005003985475157205,0.0002580857091117729
C14_C11_plus_mean_residual_range_h256,14,94,pooled,ON,208832,62365,0.2986371820410665,36978,0.8229294361017468,762,0.003648866074164879,0.00018217329822232573
C14_C11_plus_mean_residual_range_h256,14,94,H1,OFF,150779,41572,0.2757147878683371,25987,0.8276484125773483,1341,0.0088938114724199,0.0006514535204038312
C14_C11_plus_mean_residual_range_h256,14,94,H1,ON,49782,21213,0.4261178739303363,13645,0.7259049455626532,189,0.0037965529709533567,0.00022837967705645662
C14_C11_plus_mean_residual_range_h256,14,94,H3,OFF,85437,28068,0.32852277116471784,17778,0.7919168510130271,796,0.009316806535810011,0.0007071251280153262
C14_C11_plus_mean_residual_range_h256,14,94,H3,ON,55056,26219,0.4762242080790468,17551,0.6812154896832316,110,0.001997965707643127,0.00015382889283182538
C14_C11_plus_mean_residual_range_h256,14,94,H5,OFF,7288,1742,0.23902305159165751,1225,0.8319154774972558,1567,0.21501097694840834,0.05915953059573934
C14_C11_plus_mean_residual_range_h256,14,94,H5,ON,6431,2751,0.42777173067952107,1805,0.7193282537707977,182,0.02830041984139325,0.0034411952408785885
C14_C11_plus_mean_residual_range_h256,14,94,H6,OFF,95226,22542,0.23672106357507403,12741,0.8662025077184803,503,0.005282170835696133,0.00045900196350402505
C14_C11_plus_mean_residual_range_h256,14,94,H6,ON,97563,23274,0.2385535500138372,13186,0.8648463044391829,734,0.00752334389061427,0.0005233436638964797
