encoding,seed,accuracy,macro_f1,fridge_f1,microwave_f1,dish_washer_f1,electric_furnace_f1,confusion_matrix,training_seconds,initial_state_sha256,final_state_sha256
han_binary,0,0.9354838709677419,0.7618022328548644,0.968421052631579,0.9454545454545454,0.3333333333333333,0.8,"[[138,0,1,0],[0,26,0,0],[5,2,2,0],[3,1,0,8]]",12.207557499990799,c8a97edfd26177cc0ce6aa1369a91e0d852f4e7b0aa7d1f8c193c8812849126f,34d7207f488acb8f70d8bc49a69433cfe9226b6e52826317febcb62c234f9ce6
threshold_8,0,0.946236559139785,0.8179441211844283,0.9822064056939501,0.9122807017543859,0.6153846153846154,0.7619047619047619,"[[138,1,0,0],[0,26,0,0],[2,2,4,1],[2,2,0,8]]",10.779123999993317,c8a97edfd26177cc0ce6aa1369a91e0d852f4e7b0aa7d1f8c193c8812849126f,aff5d4dc93e7e536833cad4c5ec7a75985b249b6bd9c54b5ce859e5eedd42757
han_binary,1,0.946236559139785,0.8315718062630351,0.9750889679715302,0.9629629629629629,0.5882352941176471,0.8,"[[137,0,2,0],[0,26,0,0],[3,1,5,0],[2,1,1,8]]",11.195437699992908,b59f72e5a8430f09f79a1324f8f01d86f02a5c0f4003ef28afbf2ed05d3df154,c95004e7f9d1fb8193261dcde1533c34f9c51efee0f430e422478cd193ed1a87
threshold_8,1,0.9354838709677419,0.7445159216536175,0.9787234042553191,0.9433962264150944,0.36363636363636365,0.6923076923076923,"[[138,0,0,1],[0,25,0,1],[3,1,2,3],[2,1,0,9]]",10.81137709999166,b59f72e5a8430f09f79a1324f8f01d86f02a5c0f4003ef28afbf2ed05d3df154,0234042d80bf62dad10a252fccd6ae4748334e65e6ed676aa96aaffbb916600c
han_binary,2,0.9354838709677419,0.7651572112098428,0.968421052631579,0.9285714285714286,0.36363636363636365,0.8,"[[138,1,0,0],[0,26,0,0],[5,2,2,0],[3,1,0,8]]",10.925657700005104,cdb5865c40c677822dcb1a91cfd4124808b451270b18e5455400c85d83adab3e,ef75ade1bc677b3c25f4d5240e5790573c1b2b3ffdf97ec0d2ffb0ac43d55a74
threshold_8,2,0.946236559139785,0.8211460525290313,0.9787234042553191,0.9285714285714286,0.6153846153846154,0.7619047619047619,"[[138,1,0,0],[0,26,0,0],[2,2,4,1],[3,1,0,8]]",10.422953399989638,cdb5865c40c677822dcb1a91cfd4124808b451270b18e5455400c85d83adab3e,f57c735bce4108f1fcd2ea2a121d1b209139d3f1550c6549dbd64f84e1ed78d3
han_binary,3,0.9354838709677419,0.7618022328548644,0.968421052631579,0.9454545454545454,0.3333333333333333,0.8,"[[138,0,1,0],[0,26,0,0],[5,2,2,0],[3,1,0,8]]",11.264181900012773,50950fa9972326d200970012b83350bf3f981f2b7d60463a4874ce6f79882f61,13e1da6170b60b470c9971a03124a2fe5cf087fc70ab3f9e7c03f03fc27d1e04
threshold_8,3,0.9516129032258065,0.8360860669579531,0.9822064056939501,0.9285714285714286,0.6153846153846154,0.8181818181818182,"[[138,1,0,0],[0,26,0,0],[2,2,4,1],[2,1,0,9]]",10.612290100005339,50950fa9972326d200970012b83350bf3f981f2b7d60463a4874ce6f79882f61,052d7b1c03394d547d6df20e9f6ea7edd8325cc1c1722d5264b374ba2488b366
han_binary,4,0.9408602150537635,0.8001006036217304,0.971830985915493,0.9285714285714286,0.5,0.8,"[[138,1,0,0],[0,26,0,0],[4,2,3,0],[3,1,0,8]]",11.413535899991984,c0a75402824cb57e972e7b91dae24570c7ea04c8a3e3d6d43dcad9f438eb1dca,726b4108687cf22efd4122b7a5a4c9cf294cadefa7c16c69dac6d2c03953d756
threshold_8,4,0.9354838709677419,0.7866379310344829,0.9785714285714285,0.896551724137931,0.5714285714285714,0.7,"[[137,1,1,0],[0,26,0,0],[2,2,4,1],[2,3,0,7]]",11.50691930000903,c0a75402824cb57e972e7b91dae24570c7ea04c8a3e3d6d43dcad9f438eb1dca,d0a0d1439c0a136a03e9cfc8c59677cf871a6eb63e8f1d4a4fdef86d4db83032
