fold,seed,house,appliance,tp,tn,fp,fn,eligible_positive_support,eligible_negative_support,excluded_unavailable_count,precision,recall,f1,binary_accuracy,precision_zero_denominator,recall_zero_denominator,f1_zero_denominator,accuracy_zero_denominator,matched_target_episode_count,unmatched_target_episode_count,duplicate_candidate_count,candidate_count,episode_coverage,episode_coverage_zero_denominator,excluded_reasons_json
F1,0,H1,fridge,13,63,6,60,73,69,9,0.6842105263157895,0.1780821917808219,0.2826086956521739,0.5352112676056338,False,False,False,False,32,41,22,110,0.4383561643835616,False,"{""incomplete_one_sample"":3,""right_censored"":6}"
F1,0,H3,fridge,53,70,8,20,73,78,8,0.8688524590163934,0.726027397260274,0.7910447761194029,0.8145695364238411,False,False,False,False,64,9,49,150,0.8767123287671232,False,"{""incomplete_one_sample"":8}"
F1,0,H5,fridge,2,14,1,2,4,15,1,0.6666666666666666,0.5,0.5714285714285714,0.8421052631578947,False,False,False,False,2,2,12,18,0.5,False,"{""incomplete_one_sample"":1}"
F1,0,H6,fridge,18,100,6,45,63,106,10,0.75,0.2857142857142857,0.41379310344827586,0.6982248520710059,False,False,False,False,48,15,94,164,0.7619047619047619,False,"{""incomplete_one_sample"":6,""left_censored"":4}"
F1,0,ALL,fridge,86,247,21,127,213,268,28,0.8037383177570093,0.40375586854460094,0.5375,0.6923076923076923,False,False,False,False,146,67,177,442,0.6854460093896714,False,"{""incomplete_one_sample"":18,""left_censored"":4,""right_censored"":6}"
F1,0,H1,microwave,8,73,5,19,27,78,11,0.6153846153846154,0.2962962962962963,0.4,0.7714285714285715,False,False,False,False,21,6,10,110,0.7777777777777778,False,"{""incomplete_one_sample"":10,""incomplete_one_sample+right_censored"":1}"
F1,0,H3,microwave,0,136,4,10,10,140,0,0.0,0.0,0.0,0.9066666666666666,False,False,False,False,10,0,39,150,1.0,False,{}
F1,0,H5,microwave,0,18,0,0,0,18,0,0.0,0.0,0.0,1.0,True,True,True,False,0,0,0,18,0.0,True,{}
F1,0,H6,microwave,0,0,0,0,0,0,164,0.0,0.0,0.0,0.0,True,True,True,True,0,0,0,164,0.0,True,"{""label_unavailable"":164}"
F1,0,ALL,microwave,8,227,9,29,37,236,175,0.47058823529411764,0.21621621621621623,0.2962962962962963,0.8608058608058609,False,False,False,False,31,6,49,442,0.8378378378378378,False,"{""incomplete_one_sample"":10,""incomplete_one_sample+right_censored"":1,""label_unavailable"":164}"
F1,0,H1,dish washer,6,95,0,14,20,95,0,1.0,0.3,0.46153846153846156,0.8782608695652174,False,False,False,False,15,5,3,110,0.75,False,{}
