fold,seed,scope,boundary,median_value,p95_value,unit,serialized_inference_bytes,shared_encoder_bytes,complete_bundle_bytes,warmups,timed_calls,batch_size
F1,0,fridge,TM evaluation only,252900.0,430699.9999999999,ns,4668,1298,5966,100,1000,1
F1,0,microwave,TM evaluation only,210000.0,419304.99999999965,ns,4586,1298,5884,100,1000,1
F1,0,dish washer,TM evaluation only,224550.0,428500.0,ns,4888,1298,6186,100,1000,1
F1,0,full_eligible_macro_2class,named ensemble TM evaluations,436800.0,837460.0,ns,9254,1298,10552,100,1000,1
F1,0,full_eligible_macro_2class,Booleanisation plus named ensemble,511150.0,1000714.9999999998,ns,9254,1298,10552,100,1000,1
F1,0,development_scope_macro_3class,named ensemble TM evaluations,814200.0,1222105.0,ns,14142,1298,15440,100,1000,1
F1,0,development_scope_macro_3class,Booleanisation plus named ensemble,895800.0,1464404.9999999998,ns,14142,1298,15440,100,1000,1
F1,0,algorithmic_waiting,onset-to-output samples,38.5,201.0,samples,,,,0,442,1
F1,0,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,442,1
F1,1,fridge,TM evaluation only,282550.0,441815.0,ns,4476,1298,5774,100,1000,1
F1,1,microwave,TM evaluation only,194950.0,428010.0,ns,4490,1298,5788,100,1000,1
F1,1,dish washer,TM evaluation only,181500.0,333994.9999999997,ns,4856,1298,6154,100,1000,1
F1,1,full_eligible_macro_2class,named ensemble TM evaluations,378650.0,712260.0,ns,8966,1298,10264,100,1000,1
F1,1,full_eligible_macro_2class,Booleanisation plus named ensemble,653800.0,1018530.0,ns,8966,1298,10264,100,1000,1
F1,1,development_scope_macro_3class,named ensemble TM evaluations,692200.0,1250209.9999999998,ns,13822,1298,15120,100,1000,1
F1,1,development_scope_macro_3class,Booleanisation plus named ensemble,740850.0,1334120.0,ns,13822,1298,15120,100,1000,1
F1,1,algorithmic_waiting,onset-to-output samples,38.5,201.0,samples,,,,0,442,1
F1,1,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,442,1
F1,2,fridge,TM evaluation only,184500.0,406105.0,ns,4718,1298,6016,100,1000,1
F1,2,microwave,TM evaluation only,183100.0,344344.9999999999,ns,4628,1298,5926,100,1000,1
F1,2,dish washer,TM evaluation only,214000.0,448610.0,ns,4816,1298,6114,100,1000,1
F1,2,full_eligible_macro_2class,named ensemble TM evaluations,589050.0,908150.0,ns,9346,1298,10644,100,1000,1
F1,2,full_eligible_macro_2class,Booleanisation plus named ensemble,621600.0,1016420.0,ns,9346,1298,10644,100,1000,1
F1,2,development_scope_macro_3class,named ensemble TM evaluations,600800.0,1145510.0,ns,14162,1298,15460,100,1000,1
F1,2,development_scope_macro_3class,Booleanisation plus named ensemble,734950.0,1316709.9999999998,ns,14162,1298,15460,100,1000,1
F1,2,algorithmic_waiting,onset-to-output samples,38.5,201.0,samples,,,,0,442,1
F1,2,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,442,1
F1,3,fridge,TM evaluation only,183350.0,400214.99999999965,ns,4586,1298,5884,100,1000,1
F1,3,microwave,TM evaluation only,191950.0,420334.99999999994,ns,4502,1298,5800,100,1000,1
F1,3,dish washer,TM evaluation only,195950.0,411934.99999999994,ns,4564,1298,5862,100,1000,1
F1,3,full_eligible_macro_2class,named ensemble TM evaluations,374500.0,698205.0,ns,9088,1298,10386,100,1000,1
F1,3,full_eligible_macro_2class,Booleanisation plus named ensemble,618850.0,964609.9999999998,ns,9088,1298,10386,100,1000,1
