fold,role,house,main_edge_count,rising_edge_count,falling_edge_count,paired_count,candidate_count,expired_rise_count,unmatched_fall_count,contained_exclusion_count,non_finite_main_count,target_diagnostics_json
F1,training,H1,1929,838,1091,672,635,166,419,37,0,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":16,""dish washer:complete_episode_count"":131,""dish washer:duplicate_candidate_count"":43,""dish washer:incomplete_one_sample_episode_count"":11,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":126,""dish washer:right_censored_episode_count"":1,""dish washer:unmatched_target_episode_count"":5,""fridge:ambiguous_candidate_incomplete_one_sample"":15,""fridge:ambiguous_candidate_left_censored"":3,""fridge:ambiguous_candidate_right_censored"":8,""fridge:complete_episode_count"":232,""fridge:duplicate_candidate_count"":245,""fridge:incomplete_one_sample_episode_count"":35,""fridge:left_censored_episode_count"":7,""fridge:matched_target_episode_count"":122,""fridge:right_censored_episode_count"":7,""fridge:unmatched_target_episode_count"":110,""microwave:ambiguous_candidate_incomplete_one_sample"":42,""microwave:ambiguous_candidate_right_censored"":2,""microwave:complete_episode_count"":106,""microwave:duplicate_candidate_count"":88,""microwave:incomplete_one_sample_episode_count"":43,""microwave:left_censored_episode_count"":2,""microwave:matched_target_episode_count"":84,""microwave:right_censored_episode_count"":1,""microwave:unmatched_target_episode_count"":22}"
F1,training,H3,3169,1419,1750,1265,1212,154,485,53,0,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":4,""dish washer:ambiguous_candidate_left_censored"":2,""dish washer:ambiguous_candidate_right_censored"":2,""dish washer:complete_episode_count"":11,""dish washer:duplicate_candidate_count"":28,""dish washer:incomplete_one_sample_episode_count"":2,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":11,""dish washer:right_censored_episode_count"":1,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":20,""fridge:ambiguous_candidate_right_censored"":3,""fridge:complete_episode_count"":272,""fridge:duplicate_candidate_count"":559,""fridge:incomplete_one_sample_episode_count"":13,""fridge:left_censored_episode_count"":4,""fridge:matched_target_episode_count"":217,""fridge:right_censored_episode_count"":4,""fridge:unmatched_target_episode_count"":55,""microwave:ambiguous_candidate_incomplete_one_sample"":7,""microwave:complete_episode_count"":27,""microwave:duplicate_candidate_count"":79,""microwave:incomplete_one_sample_episode_count"":4,""microwave:matched_target_episode_count"":27,""microwave:unmatched_target_episode_count"":0}"
F1,training,H5,182,101,81,67,52,34,14,15,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_right_censored"":1,""fridge:complete_episode_count"":25,""fridge:duplicate_candidate_count"":26,""fridge:left_censored_episode_count"":1,""fridge:matched_target_episode_count"":12,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":13,""microwave:complete_episode_count"":0,""microwave:duplicate_candidate_count"":0,""microwave:matched_target_episode_count"":0,""microwave:unmatched_target_episode_count"":0}"
F1,training,H6,1025,459,566,339,329,120,227,10,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:incomplete_one_sample_episode_count"":3,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":11,""fridge:ambiguous_candidate_incomplete_one_sample+right_censored"":1,""fridge:ambiguous_candidate_right_censored"":5,""fridge:complete_episode_count"":148,""fridge:duplicate_candidate_count"":170,""fridge:incomplete_one_sample_episode_count"":9,""fridge:left_censored_episode_count"":3,""fridge:matched_target_episode_count"":81,""fridge:right_censored_episode_count"":2,""fridge:unmatched_target_episode_count"":67,""microwave:label_unavailable"":329}"
F1,validation,H1,383,183,200,116,110,67,84,6,1,"{""dish washer:complete_episode_count"":20,""dish washer:duplicate_candidate_count"":3,""dish washer:incomplete_one_sample_episode_count"":4,""dish washer:matched_target_episode_count"":15,""dish washer:unmatched_target_episode_count"":5,""fridge:ambiguous_candidate_incomplete_one_sample"":3,""fridge:ambiguous_candidate_right_censored"":6,""fridge:complete_episode_count"":73,""fridge:duplicate_candidate_count"":22,""fridge:incomplete_one_sample_episode_count"":7,""fridge:left_censored_episode_count"":2,""fridge:matched_target_episode_count"":32,""fridge:right_censored_episode_count"":2,""fridge:unmatched_target_episode_count"":41,""microwave:ambiguous_candidate_incomplete_one_sample"":10,""microwave:ambiguous_candidate_incomplete_one_sample+right_censored"":1,""microwave:complete_episode_count"":27,""microwave:duplicate_candidate_count"":10,""microwave:incomplete_one_sample_episode_count"":10,""microwave:matched_target_episode_count"":21,""microwave:right_censored_episode_count"":1,""microwave:unmatched_target_episode_count"":6}"
F1,validation,H3,397,180,217,150,150,30,67,0,0,"{""dish washer:complete_episode_count"":6,""dish washer:duplicate_candidate_count"":14,""dish washer:matched_target_episode_count"":6,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":8,""fridge:complete_episode_count"":73,""fridge:duplicate_candidate_count"":49,""fridge:incomplete_one_sample_episode_count"":2,""fridge:left_censored_episode_count"":4,""fridge:matched_target_episode_count"":64,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":9,""microwave:complete_episode_count"":10,""microwave:duplicate_candidate_count"":39,""microwave:matched_target_episode_count"":10,""microwave:unmatched_target_episode_count"":0}"
F1,validation,H5,57,23,34,20,18,3,14,2,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":1,""fridge:complete_episode_count"":4,""fridge:duplicate_candidate_count"":12,""fridge:incomplete_one_sample_episode_count"":1,""fridge:matched_target_episode_count"":2,""fridge:unmatched_target_episode_count"":2,""microwave:complete_episode_count"":0,""microwave:duplicate_candidate_count"":0,""microwave:matched_target_episode_count"":0,""microwave:unmatched_target_episode_count"":0}"
F1,validation,H6,439,207,232,168,164,39,64,4,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":6,""fridge:ambiguous_candidate_left_censored"":4,""fridge:complete_episode_count"":63,""fridge:duplicate_candidate_count"":94,""fridge:incomplete_one_sample_episode_count"":5,""fridge:left_censored_episode_count"":1,""fridge:matched_target_episode_count"":48,""fridge:right_censored_episode_count"":2,""fridge:unmatched_target_episode_count"":15,""microwave:label_unavailable"":164}"
F2,training,H1,1670,728,942,567,545,161,375,22,1,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":12,""dish washer:complete_episode_count"":133,""dish washer:duplicate_candidate_count"":41,""dish washer:incomplete_one_sample_episode_count"":14,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":124,""dish washer:right_censored_episode_count"":1,""dish washer:unmatched_target_episode_count"":9,""fridge:ambiguous_candidate_incomplete_one_sample"":9,""fridge:ambiguous_candidate_left_censored"":3,""fridge:ambiguous_candidate_right_censored"":12,""fridge:complete_episode_count"":215,""fridge:duplicate_candidate_count"":192,""fridge:incomplete_one_sample_episode_count"":27,""fridge:left_censored_episode_count"":7,""fridge:matched_target_episode_count"":112,""fridge:right_censored_episode_count"":6,""fridge:unmatched_target_episode_count"":103,""microwave:ambiguous_candidate_incomplete_one_sample"":39,""microwave:ambiguous_candidate_incomplete_one_sample+right_censored"":1,""microwave:complete_episode_count"":88,""microwave:duplicate_candidate_count"":56,""microwave:incomplete_one_sample_episode_count"":38,""microwave:left_censored_episode_count"":1,""microwave:matched_target_episode_count"":69,""microwave:right_censored_episode_count"":1,""microwave:unmatched_target_episode_count"":19}"
F2,training,H3,2009,909,1100,784,783,125,316,1,0,"{""dish washer:ambiguous_candidate_left_censored"":2,""dish washer:complete_episode_count"":15,""dish washer:duplicate_candidate_count"":39,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":15,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":24,""fridge:ambiguous_candidate_right_censored"":1,""fridge:complete_episode_count"":248,""fridge:duplicate_candidate_count"":342,""fridge:incomplete_one_sample_episode_count"":11,""fridge:left_censored_episode_count"":7,""fridge:matched_target_episode_count"":201,""fridge:right_censored_episode_count"":3,""fridge:unmatched_target_episode_count"":47,""microwave:ambiguous_candidate_incomplete_one_sample"":7,""microwave:complete_episode_count"":27,""microwave:duplicate_candidate_count"":101,""microwave:incomplete_one_sample_episode_count"":4,""microwave:matched_target_episode_count"":27,""microwave:unmatched_target_episode_count"":0}"
