house,segment_id,row_in_segment,block,CE appliance,dish washer,electric furnace,electric space heater,fridge,microwave,washer dryer,waste disposal unit,main
5,redd_house5_0,0,B1,42.5,0.0,290.0,,0.0,4.0,,0.0,6077.21972656
5,redd_house5_0,1,B1,50.0,0.0,315.0,1680.0,0.0,5.0,0.0,0.0,6073.22998047
5,redd_house5_0,2,B1,42.5,0.0,310.0,1675.0,0.0,4.0,0.0,0.0,6065.02001953
5,redd_house5_0,3,B1,47.5,0.0,308.0,1679.0,0.0,3.0,0.0,0.0,6082.97998047
5,redd_house5_0,4,B1,45.0,0.0,307.0,1674.0,0.0,3.0,0.0,0.0,6061.79003906
5,redd_house5_0,5,B1,50.0,0.0,305.0,1677.0,0.0,3.0,0.0,0.0,6085.37011719
5,redd_house5_0,6,B1,45.0,0.0,332.0,1673.0,0.0,3.0,0.0,0.0,6067.0
5,redd_house5_0,7,B1,45.0,0.0,312.0,1675.0,0.0,3.0,0.0,0.0,6052.12988281
5,redd_house5_0,8,B1,45.0,0.0,300.0,1675.0,0.0,3.0,0.0,0.0,6046.81005859
5,redd_house5_0,9,B1,45.0,0.0,303.0,1675.0,0.0,3.0,0.0,0.0,6067.29003906
5,redd_house5_0,10,B1,45.0,0.0,304.0,1675.0,0.0,3.0,0.0,0.0,6064.8203125
5,redd_house5_0,11,B1,42.5,0.0,305.0,1677.0,0.0,3.0,0.0,0.0,6060.04980469
5,redd_house5_0,12,B1,45.0,0.0,308.0,1680.0,0.0,3.0,0.0,0.0,6064.1796875
5,redd_house5_0,13,B1,45.0,0.0,308.0,1678.0,0.0,3.0,0.0,0.0,6056.33984375
5,redd_house5_0,14,B1,45.0,0.0,294.0,1678.0,0.0,3.0,0.0,0.0,6072.39013672
5,redd_house5_0,15,B1,45.0,0.0,345.0,1684.0,0.0,3.0,0.0,0.0,6058.29980469
5,redd_house5_0,16,B1,45.0,0.0,349.0,1676.0,0.0,4.0,2.5,0.0,6060.31005859
5,redd_house5_0,17,B1,45.0,0.0,349.0,1676.0,0.0,4.0,2.5,0.0,6046.87011719
5,redd_house5_0,18,B1,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
5,redd_house5_0,19,B1,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
5,redd_house5_0,20,B1,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
5,redd_house5_0,21,B1,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
5,redd_house5_0,22,B1,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
5,redd_house5_0,23,B1,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
5,redd_house5_0,24,B1,45.0,0.0,324.0,1677.0,0.0,4.0,0.0,0.0,6063.64013672
5,redd_house5_0,25,B1,47.5,0.0,350.0,1679.0,0.0,3.0,2.5,0.0,6076.70996094
5,redd_house5_0,26,B1,45.0,0.0,311.0,1677.0,0.0,3.0,0.0,0.0,6058.62988281
5,redd_house5_0,27,B1,45.0,0.0,312.0,1673.0,0.0,3.0,2.5,0.0,6060.12011719
